SYMBOL,NAME OF COMPANY,02/03/2022,03/03/2022,04/03/2022,05/03/2022,07/03/2022,08/03/2022,09/03/2022,10/03/2022,11/03/2022,14/03/2022,15/03/2022,16/03/2022
20MICRONS,20 Microns Limited,71.85,72.0,71.6,71.6,69.8,71.55,72.35,73.45,75.95,73.45,72.2,72.8
21STCENMGM,21st Century Management Services Limited,29.6,29.05,28.5,28.5,27.95,27.4,26.9,26.4,25.9,25.55,26.05,26.55
3IINFOLTD,3i Infotech Limited,49.45,50.0,52.5,52.5,55.1,57.85,60.7,63.7,61.75,58.7,56.2,57.2
3MINDIA,3M India Limited,20923.1,21081.3,20379.35,20379.35,19925.95,19902.05,19953.15,20008.5,19897.4,19704.95,19562.5,19679.15
3PLAND,3P Land Holdings Limited,15.5,15.5,15.6,15.6,15.05,15.25,15.9,16.45,16.2,16.5,16.05,16.5
5PAISA,5Paisa Capital Limited,324.4,332.05,326.1,326.1,305.75,298.65,309.05,307.5,312.5,307.0,305.55,312.7
63MOONS,63 moons technologies limited,204.15,206.95,205.5,205.5,195.8,201.6,211.65,222.2,233.3,229.8,223.45,225.75
A2ZINFRA,A2Z Infra Engineering Limited,9.8,10.25,10.75,10.75,10.25,10.0,9.95,10.4,10.9,10.4,10.65,10.45
AAKASH,Aakash Exploration Services Limited,29.75,29.9,30.55,30.55,29.05,28.45,28.5,28.6,29.15,28.25,27.75,27.15
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,44.75,43.75,43.55,43.55,43.0,42.3,43.7,42.3,43.85,44.05,43.15,43.55
AARON,Aaron Industries Limited,108.8,113.8,109.9,109.9,108.35,107.75,112.35,115.65,116.3,118.5,113.45,112.45
AARTIDRUGS,Aarti Drugs Limited,457.1,450.55,445.3,445.3,441.8,441.9,454.75,463.0,466.2,452.1,443.65,448.6
AARTIIND,Aarti Industries Limited,903.45,881.0,829.55,829.55,804.85,817.4,829.95,828.0,845.2,870.6,859.4,859.45
AARTISURF,Aarti Surfactants Limited,797.55,813.4,808.15,808.15,770.95,778.6,795.85,812.75,794.65,772.9,756.15,761.65
AARVEEDEN,Aarvee Denims & Exports Limited,25.65,25.1,24.0,24.0,24.05,24.7,25.05,25.25,24.85,25.6,24.9,25.3
AARVI,Aarvi Encon Limited,89.45,89.7,89.65,89.65,87.8,88.3,90.6,92.35,93.3,93.55,88.35,89.25
AAVAS,Aavas Financiers Limited,2797.85,2845.9,2689.2,2689.2,2600.15,2554.3,2574.65,2558.35,2546.15,2486.15,2452.55,2443.25
ABAN,Aban Offshore Limited,46.05,47.65,45.45,45.45,46.9,51.55,52.15,50.0,49.75,48.45,46.45,45.85
ABB,ABB India Limited,2179.2,2159.45,2155.4,2155.4,2108.95,2135.05,2142.75,2157.95,2119.95,2078.5,2091.7,2190.95
ABBOTINDIA,Abbott India Limited,17200.25,17432.3,17459.4,17459.4,17415.3,17705.85,17833.7,17496.7,17268.65,17041.45,17203.95,17322.4
ABCAPITAL,Aditya Birla Capital Limited,104.85,103.2,103.2,103.2,98.6,100.1,102.65,103.8,103.45,103.95,104.7,108.55
ABFRL,Aditya Birla Fashion and Retail Limited,272.8,267.3,264.35,264.35,261.35,266.3,278.35,276.0,279.35,276.85,273.15,278.3
ABMINTLLTD,ABM International Limited,91.9,91.4,93.15,93.15,97.15,95.45,90.55,92.25,93.35,92.1,91.05,93.05
ABSLAMC,Aditya Birla Sun Life AMC Limited,500.9,503.1,499.55,499.55,493.25,491.5,490.45,498.7,496.25,497.25,491.8,498.1
ACC,ACC Limited,2067.75,1956.0,2010.55,2010.55,1950.15,1962.1,2000.85,2047.6,2041.9,2058.05,2060.35,2129.15
ACCELYA,Accelya Solutions India Limited,902.6,907.45,903.6,903.6,885.05,904.95,984.65,963.85,963.2,975.1,970.05,1016.9
ACCURACY,Accuracy Shipping Limited,231.9,229.05,230.5,230.5,228.15,226.6,247.35,245.85,235.75,236.2,239.3,255.1
ACE,Action Construction Equipment Limited,213.75,216.05,214.9,214.9,208.7,209.05,215.8,217.4,218.05,214.3,213.75,215.3
ACRYSIL,Acrysil Limited,673.85,675.9,708.2,708.2,692.5,718.35,728.95,727.3,732.85,718.05,717.85,726.3
ADANIENT,Adani Enterprises Limited,1641.8,1643.8,1615.0,1615.0,1564.05,1601.6,1656.55,1742.85,1734.1,1736.1,1701.4,1758.0
ADANIGREEN,Adani Green Energy Limited,1882.55,1950.9,1894.3,1894.3,1803.75,1783.95,1828.75,1881.85,1860.05,1822.4,1798.75,1833.65
ADANIPORTS,Adani Ports and Special Economic Zone Limited,710.3,706.7,700.15,700.15,677.8,688.85,714.1,730.4,729.45,730.55,721.3,723.8
ADANIPOWER,Adani Power Limited,123.1,122.7,119.75,119.75,116.45,118.7,121.3,122.5,121.8,122.15,122.3,122.9
ADANITRANS,Adani Transmission Limited,2241.05,2353.1,2323.2,2323.2,2207.35,2217.0,2164.65,2272.75,2307.25,2268.3,2217.55,2305.4
ADFFOODS,ADF Foods Limited,727.65,722.65,711.55,711.55,691.25,693.05,734.55,713.7,711.85,706.0,700.4,722.9
ADL,Archidply Decor Limited,44.95,43.1,41.6,41.6,41.85,42.2,42.35,43.0,42.65,42.6,44.0,43.5
ADORWELD,Ador Welding Limited,635.2,647.35,654.85,654.85,633.1,663.2,667.35,660.65,665.7,650.85,644.85,643.2
ADROITINFO,Adroit Infotech Limited,9.05,9.5,9.95,9.95,10.4,10.9,11.4,11.95,12.5,13.1,13.75,14.15
ADSL,Allied Digital Services Limited,104.2,102.9,102.9,102.9,102.7,106.35,111.55,117.1,122.95,121.95,124.5,123.7
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,91.9,91.9,90.75,90.75,85.25,86.9,88.75,89.95,91.05,91.95,88.25,88.45
ADVENZYMES,Advanced Enzyme Technologies Limited,321.85,316.75,306.0,306.0,300.5,300.0,302.55,305.8,303.3,300.1,299.65,302.7
AEGISCHEM,Aegis Logistics Limited,191.9,210.5,205.3,205.3,194.5,189.15,197.2,194.35,195.65,192.2,190.95,196.7
AFFLE,Affle (India) Limited,1183.3,1194.75,1157.95,1157.95,1148.0,1158.05,1217.5,1258.6,1251.0,1213.0,1192.7,1198.55
AGARIND,Agarwal Industrial Corporation Limited,477.5,478.6,466.15,466.15,435.55,452.25,467.0,470.55,464.35,469.6,474.1,482.0
AGRITECH,Agri-Tech (India) Limited,77.05,80.9,84.9,84.9,85.15,86.95,84.45,83.8,85.4,83.95,88.1,92.5
AGROPHOS,Agro Phos India Limited,21.35,21.1,20.75,20.75,19.55,21.05,23.15,25.45,24.45,23.85,24.25,23.2
AGSTRA,AGS Transact Technologies Limited,109.85,120.8,115.25,115.25,108.15,106.55,110.85,111.8,107.7,105.45,102.3,103.3
AHLADA,Ahlada Engineers Limited,118.45,119.9,119.2,119.2,118.8,119.25,119.8,123.95,123.3,119.5,116.5,115.95
AHLEAST,Asian Hotels (East) Limited,193.8,193.85,194.7,194.7,194.95,193.25,194.65,195.85,197.75,195.05,194.35,202.55
AHLUCONT,Ahluwalia Contracts (India) Limited,381.2,403.05,399.95,399.95,375.1,374.2,374.95,383.25,378.2,389.4,380.4,384.9
AIAENG,AIA Engineering Limited,1604.6,1597.5,1548.7,1548.7,1586.45,1635.75,1672.6,1702.45,1684.15,1690.0,1705.1,1744.15
AIRAN,Airan Limited,19.85,19.95,19.85,19.85,19.25,19.55,19.95,20.05,20.0,19.85,19.75,19.85
AIROLAM,Airo Lam limited,68.9,68.75,65.95,65.95,60.9,67.85,66.15,66.0,67.15,66.95,66.3,67.45
AJANTPHARM,Ajanta Pharma Limited,1743.65,1735.75,1708.2,1708.2,1705.4,1720.7,1743.5,1758.55,1731.4,1769.25,1778.0,1845.55
AJMERA,Ajmera Realty & Infra India Limited,339.6,345.95,349.0,349.0,331.55,330.6,339.65,335.65,335.6,321.1,331.95,344.4
AJOONI,Ajooni Biotech Limited,59.6,60.35,57.75,57.75,57.15,56.2,59.3,65.75,64.95,65.35,62.75,61.5
AJRINFRA,AJR INFRA AND TOLLING LIMITED,2.0,2.1,2.2,2.2,2.15,2.15,2.25,2.35,2.3,2.2,2.15,2.2
AKASH,Akash Infra-Projects Limited,157.25,149.4,141.95,141.95,134.9,128.2,121.8,115.75,110.0,104.5,99.3,94.35
AKG,Akg Exim Limited,41.8,40.9,38.15,38.15,38.35,40.1,40.05,40.0,40.85,40.0,39.8,39.2
AKSHARCHEM,AksharChem India Limited,357.05,360.95,355.95,355.95,337.15,345.5,365.7,366.95,376.55,378.35,373.1,377.8
AKSHOPTFBR,Aksh Optifibre Limited,11.2,11.3,11.0,11.0,10.5,10.7,11.15,11.45,11.25,11.1,10.85,10.9
AKZOINDIA,Akzo Nobel India Limited,1844.05,1854.05,1836.75,1836.75,1826.7,1824.4,1865.9,1918.15,1952.15,1935.8,1927.85,1965.15
ALANKIT,Alankit Limited,13.2,13.65,13.6,13.6,13.75,13.85,14.5,14.4,14.35,14.0,13.9,14.0
ALBERTDAVD,Albert David Limited,520.8,515.15,522.45,522.45,519.2,519.5,529.65,536.05,542.15,530.65,532.35,533.2
ALEMBICLTD,Alembic Limited,86.75,87.0,83.5,83.5,81.2,80.95,81.35,83.65,84.05,82.15,80.8,81.2
ALICON,Alicon Castalloy Limited,759.5,774.3,757.5,757.5,725.15,709.05,723.4,732.8,706.45,722.9,725.9,719.55
ALKALI,Alkali Metals Limited,83.1,82.3,80.1,80.1,76.95,76.5,77.0,80.85,82.4,82.3,80.85,82.1
ALKEM,Alkem Laboratories Limited,3259.0,3249.65,3176.6,3176.6,3261.3,3265.4,3276.6,3300.3,3381.0,3380.8,3374.6,3414.9
ALKYLAMINE,Alkyl Amines Chemicals Limited,2957.0,2899.8,2837.9,2837.9,2801.65,2818.35,2954.6,3039.75,3009.75,2955.2,2893.15,2903.5
ALLCARGO,Allcargo Logistics Limited,327.0,325.35,315.25,315.25,300.45,301.95,299.8,303.15,317.85,322.05,317.9,312.1
ALLSEC,Allsec Technologies Limited,495.6,520.45,536.7,536.7,525.6,534.1,529.25,538.35,550.0,569.5,577.95,570.5
ALMONDZ,Almondz Global Securities Limited,96.35,95.65,93.1,93.1,98.55,99.35,99.0,102.65,100.0,100.5,100.95,105.4
ALOKINDS,Alok Industries Limited,24.25,24.45,24.1,24.1,23.25,23.3,24.55,24.6,24.4,24.0,23.95,24.35
ALPA,Alpa Laboratories Limited,71.95,72.9,70.6,70.6,67.3,68.15,72.05,73.25,75.35,75.25,71.55,73.15
