Sr No,Symbol,Company Name,"Market capitalization as on December 31, 2021
(Rs in Lakhs)"
1,RELIANCE,Reliance Industries Limited,160138207
2,TCS,Tata Consultancy Services Limited,138283487
3,HDFCBANK,HDFC Bank Limited,81983196
4,INFY,Infosys Limited,80445056
5,HINDUNILVR,Hindustan Unilever Limited,55453878
6,ICICIBANK,ICICI Bank Limited,51389612
7,HDFC,Housing Development Finance Corporation Limited,46770159
8,BAJFINANCE,Bajaj Finance Limited,42114588
9,SBIN,State Bank of India,41093374
10,WIPRO,Wipro Limited,39210359
11,BHARTIARTL,Bharti Airtel Limited,37554482
12,HCLTECH,HCL Technologies Limited,35795956
13,KOTAKBANK,Kotak Mahindra Bank Limited,35627228
14,ASIANPAINT,Asian Paints Limited,32449182
15,DMART,Avenue Supermarts Limited,30260471
16,ITC,ITC Limited,26869513
17,LT,Larsen & Toubro Limited,26634348
18,BAJAJFINSV,Bajaj Finserv Limited,26108407
19,MARUTI,Maruti Suzuki India Limited,22433825
20,TITAN,Titan Company Limited,22393518
21,ULTRACEMCO,UltraTech Cement Limited,21912703
22,AXISBANK,Axis Bank Limited,20815049
23,ADANIGREEN,Adani Green Energy Limited,20805300
24,SUNPHARMA,Sun Pharmaceutical Industries Limited,20291176
25,ADANITRANS,Adani Transmission Limited,19146044
26,ATGL,Adani Total Gas Limited,18936530
27,ADANIENT,Adani Enterprises Limited,18800703
28,ONGC,Oil & Natural Gas Corporation Limited,17914318
29,TECHM,Tech Mahindra Limited,17375981
30,TATAMOTORS,Tata Motors Limited,16018344
31,JSWSTEEL,JSW Steel Limited,15855757
32,ADANIPORTS,Adani Ports and Special Economic Zone Limited,14910913
33,POWERGRID,Power Grid Corporation of India Limited,14257826
34,TATASTEEL,Tata Steel Limited,13581373
35,HINDZINC,Hindustan Zinc Limited,13385811
36,HDFCLIFE,HDFC Life Insurance Company Limited,13152030
37,LTI,Larsen & Toubro Infotech Limited,12847335
38,VEDL,Vedanta Limited,12683083
39,PIDILITIND,Pidilite Industries Limited,12514932
40,DIVISLAB,Divi's Laboratories Limited,12419151
41,NTPC,NTPC Limited,12062653
42,SBILIFE,SBI Life Insurance Company Limited,11963126
43,ZOMATO,Zomato Limited,10815290
44,HINDALCO,Hindalco Industries Limited,10686416
45,GRASIM,Grasim Industries Limited,10678061
46,IOC,Indian Oil Corporation Limited,10496787
47,M&M,Mahindra & Mahindra Limited,10407386
48,DABUR,Dabur India Limited,10254452
49,NYKAA,FSN E-Commerce Ventures Limited,9938802
50,GODREJCP,Godrej Consumer Products Limited,9902164
51,SHREECEM,SHREE CEMENT LIMITED,9737274
52,DLF,DLF Limited,9664868
53,BAJAJ-AUTO,Bajaj Auto Limited,9402258
54,COALINDIA,Coal India Limited,9000665
55,SBICARD,SBI Cards and Payment Services Limited,8753276
56,HAVELLS,Havells India Limited,8749454
57,BRITANNIA,Britannia Industries Limited,8685711
58,PAYTM,One 97 Communications Limited,8651536
59,SIEMENS,Siemens Limited,8409246
60,BPCL,Bharat Petroleum Corporation Limited,8361385
61,DRREDDY,Dr. Reddy's Laboratories Limited,8166077
62,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,8060295
63,MINDTREE,MindTree Limited,7877694
64,INDIGO,InterGlobe Aviation Limited,7771419
65,CIPLA,Cipla Limited,7616906
66,BERGEPAINT,Berger Paints (I) Limited,7495969
67,AMBUJACEM,Ambuja Cements Limited,7495811
68,APOLLOHOSP,Apollo Hospitals Enterprise Limited,7208500
69,NAUKRI,Info Edge (India) Limited,7181904
70,SRF,SRF Limited,7173685
71,EICHERMOT,Eicher Motors Limited,7086540
72,TATAPOWER,Tata Power Company Limited,7060103
73,MOTHERSUMI,Motherson Sumi Systems Limited,7051667
74,INDUSINDBK,IndusInd Bank Limited,6879153
75,ICICIGI,ICICI Lombard General Insurance Company Limited,6877493
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,6851276
77,INDUSTOWER,Indus Towers Limited,6691528
78,IRCTC,Indian Railway Catering And Tourism Corporation Limited,6654000
79,MARICO,Marico Limited,6625263
80,MCDOWELL-N,United Spirits Limited,6527032
81,MPHASIS,MphasiS Limited,6367856
82,GLAND,Gland Pharma Limited,6349528
83,PEL,Piramal Enterprises Limited,6310030
84,BAJAJHLDNG,Bajaj Holdings & Investment Limited,6045519
85,MUTHOOTFIN,Muthoot Finance Limited,6002366
86,LODHA,Macrotech Developers Limited,5939622
87,LTTS,L&T Technology Services Limited,5906077
88,GAIL,GAIL (India) Limited,5736978
89,UPL,UPL Limited,5708184
90,TORNTPHARM,Torrent Pharmaceuticals Limited,5547882
91,HDFCAMC,HDFC Asset Management Company Limited,5215003
92,GODREJPROP,Godrej Properties Limited,5203367
93,BEL,Bharat Electronics Limited,5115627
94,BOSCHLTD,Bosch Limited,5108372
95,PGHH,Procter & Gamble Hygiene and Health Care Limited,5018219
96,IDBI,IDBI Bank Limited,4989115
97,CADILAHC,Cadila Healthcare Limited,4946212
98,JSWENERGY,JSW Energy Limited,4940315
99,HEROMOTOCO,Hero MotoCorp Limited,4919405
100,JUBLFOOD,Jubilant Foodworks Limited,4739140
101,ABB,ABB India Limited,4733185
102,PIIND,PI Industries Limited,4603431
103,ASTRAL,Astral Limited,4584597
104,STARHEALTH,Star Health and Allied Insurance Company Limited,4533100
105,PAGEIND,Page Industries Limited,4508569
106,BALKRISIND,Balkrishna Industries Limited,4491532
107,SAIL,Steel Authority of India Limited,4427923
108,IDEA,Vodafone Idea Limited,4410882
109,BIOCON,Biocon Limited,4377988
110,GUJGASLTD,Gujarat Gas Limited,4370245
111,SONACOMS,Sona BLW Precision Forgings Limited,4344955
112,ALKEM,Alkem Laboratories Limited,4333095
113,LUPIN,Lupin Limited,4318277
